#MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE OTYPE Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE OTYPES RA_d DEC_d BIBLIST_1990_2020
"b'[HBS84] 17'" "14 02 33.1" "+54 25 32" 5 5 "" "" 0 D "" b'' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 210.63790000 54.42560000 0
"b'HGGK  167'" "14 02 32.900" "+54 25 29.41" 7 7 "" "" 0 D O b'2016ApJ...830....4C' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII|HII' 210.63708300 54.42483600 2
"b'HGGK   79'" "14 02 21.9" "+54 21 59" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.59120000 54.36640000 4
"b'SDSS J140221.77+542159.4'" "14 02 21.772" "+54 21 59.44" 7 7 2000.000 62.000 90 C O b'2009yCat.2294....0A' b'' "" b'' b'BClG' "" "" "" "" "" "" "" z 0.539 "" E O b'2011ApJ...736...21S' b'BiC' 210.59071500 54.36651200 1
"b'HGGK 1239'" "14 04 29.000" "+54 23 48.56" 7 7 "" "" 0 D O b'2016ApJ...830....4C' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII|HII' 211.12083300 54.39682200 3
"b'[CCG2002] 12'" "14 04 29.12" "+54 23 50.1" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12133000 54.39725000 1
"b'[CCJ2005] NGC 5471 12'" "14 04 29.33" "+54 23 47.2" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12221000 54.39644000 1
"b'[CCG2002] 19'" "14 04 29.28" "+54 23 50.0" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12200000 54.39722000 1
"b'[CCG2002]  5'" "14 04 29.04" "+54 23 50.2" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12100000 54.39728000 1
"b'[CCJ2005] NGC 5471  5'" "14 04 28.90" "+54 23 48.4" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12042000 54.39678000 1
