# Tile    Id      RA_1       DEC_1     MAIN_ID                          RA_2          DEC_2         RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE            SP_TYPE      SP_QUAL SP_BIBCODE             OTYPE        Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode    RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE            OTYPES                             RA_d         DEC_d       BIBLIST_1990_2020 Separation         
  68450.0 10025.0 225.313423 52.598801 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  75211.0 19498.0 131.066066 41.718745 "b\'SDSS J084415.90+414307.6\'"  "08 44 15.905" "+41 43 07.64" 7       7        10.0         10.0         90            C        O              "b\'2015ApJS..219...12A\'" "b\'\'"      ""      "b\'\'"                "b\'RadioG\'" ""                ""         ""            ""            ""            ""              ""                  z        3.276      0.0       C        O              "b\'2015ApJS..219...12A\'" "b\'rG\'"                          131.066271   41.71879    1                 0.574185239796715  
  63864.0 47481.0 283.393295 33.033544 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  63864.0 51786.0 283.400162 33.023811 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  72839.0 2824.0  20.879405  6.960254  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  63236.0 4396.0  138.860136 31.398605 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 5210.0  211.241344 53.691023 "b\'LEDA 2448110\'"              "14 04 57.8"  "+53 41 28"   5       5        ""           ""           0             D        O              "b\'2003A&A...412...45P\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'G\'"                           211.2408     53.6911     2                 1.192315377382499  
  68634.0 14415.0 210.614164 54.227656 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 15296.0 210.930819 54.497077 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 15793.0 210.663684 54.484693 "b\'[VSH98] NGC 5457 -291+489\'" "14 02 39.1049" "+54 29 04.000" 8       8        ""           ""           0             D        ""             "b\'1998AJ....116.2805V\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII\'"                         210.6629371  54.4844444  2                 1.8002274239704654 
  68634.0 15923.0 210.66999  54.47963  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 15938.0 210.962554 54.45723  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 15940.0 210.961635 54.460092 "b\'HGGK 1151\'"                 "14 03 50.600" "+54 27 36.60" 7       7        ""           ""           0             D        O              "b\'2016ApJ...830....4C\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII|HII\'"                     210.960833   54.460167   4                 1.699821244086819  
  68634.0 15941.0 211.211404 54.468652 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 15957.0 210.599183 54.464909 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
